a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.54+2+g204a4ab-2
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adapta-maia-theme 3.94.0.149-1
adwaita-icon-theme 3.30.1-1
alembic 1.7.10-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.8-1
alsa-plugins 1.1.8-1
alsa-utils 1.1.8-1
aom 1.0.0-1
apache 2.4.37-1
appstream-glib 0.7.14-1
apr 1.6.5-1
apr-util 1.6.1-5
archlinux-appstream-data 20181222-2
archlinux-keyring 20181218-1
argon2 20171227-3
aria2 1.34.0-1
aribb24 1.0.3-2
aspell 0.60.7rc1-1
aspell-en 2018.04.16-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.28.0-1
atomicparsley 0.9.6-1
attica 5.54.0-1
attr 2.4.48-1
audacity 1:2.2.2-1
audit 2.8.4-2
autoconf 2.69-5
autoconf-archive 1:2019.01.06-1
automake 1.16.1-1
avahi 0.7+18+g1b5f401-1
axel 2.16.1-1
b43-fwcutter 019-2
babl 0.1.60+11+g6b032aa-1
baobab 3.30.0-1
bash 5.0.0-1
bash-completion 2.8-1
bashrc-manjaro 5.0.0-1
bc 1.07.1-3
binutils 2.31.1-4
bison 3.2-1
blas 3.8.0-2
bleachbit 2.0-1
blender 17:2.79.b.git4.2c0c1f49-3
blosc 1.15.1-1
bluez 5.50-6
bluez-libs 5.50-6
bolt 0.7-1
boost-libs 1.69.0-1
breeze-icons 5.54.0-1
bridge-utils 1.6-3
brotli 1.0.7-1
btrfs-progs 4.19.1-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
bzr 2.7.0-3
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.41-1
ca-certificates-utils 20181109-1
cadaver 0.23.3-11
cairo 1.16.0-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cblas 3.8.0-2
ccid 1.4.30-2
cdparanoia 10.2-7
cdrdao 1.2.4-1
cdrtools 3.02a09-1
celt 0.11.3-3
cheese 3.30.0-1
chromaprint 1.4.3-2
chrome-gnome-shell 10.1-2
chrpath 0.16-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clang 7.0.1-1
clementine 1.3.1-20
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cmake 3.13.2-1
code 1.30.2-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.3-2
colord-gtk 0.1.26+5+ga9d9c91-2
colord-sane 1.4.3-2
compiler-rt 7.0.1-1
confuse 3.2.2-1
conky 1.11.2-1
conky-i3 20180507-1
containerd 1.2.0-2
convertlit 1.8-8
coreutils 8.30-1
cpupower 4.20-2
cracklib 2.9.6-3
crda 4.14-1
cronie 1.5.2-1
crypto++ 7.0.0-1
cryptsetup 2.0.6-1
cups 2.2.10-2
cups-filters 1.21.6-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.63.0-4
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.30.1-1
dconf-editor 3.30.2-1
deluge 1.3.15+15+ga2fcebe15-1
desktop-file-utils 0.23+4+g92af410-1
devede 4.12.0-3
device-mapper 2.02.183-2
dhclient 4.4.1-4
dhcpcd 7.0.8-1
diffutils 3.7-1
ding-libs 0.6.1-2
djvulibre 3.5.27-4
dmenu-manjaro 4.8-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-2
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
docker 1:18.09.1-1
dosfstools 4.1-2
double-conversion 3.1.1-1
doxygen 1.8.15-1
dunst 1.3.2-2
dvd+rw-tools 7.1-8
dvdauthor 0.7.2-5
e2fsprogs 1.44.5-1
ebook-tools 0.2.2-5
ecryptfs-utils 111-3
efibootmgr 16-1
efivar 35-1
electron2 2.0.16-1
emovix 0.9.0-7
enchant 2.2.3-2
etcher 1.4.9-1
exempi 2.4.5-1
exfat-utils 1.3.0-1
exiv2 0.26-2
expac 9-1
expat 2.2.6-1
expect 5.45.4-1
extra-cmake-modules 5.54.0-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
farstream 0.2.8-2
feh 3.1.1-1
ffmpeg 1:4.1-1
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.35-1
file-roller 3.30.1-1
filesystem 2018.9-1
findutils 4.6.0-4
firefox 64.0.2-1
firefox-i18n-en-us 64.0.2-1
flac 1.3.2-2
flatpak 1.1.3-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
fprintd 0.8.1-2
freeglut 3.0.0-2
freetype2 2.9.1-1
frei0r-plugins 1.6.1-7
fribidi 1.0.5-1
fuse-common 3.4.1-1
fuse2 2.9.9-1
fzf 0.17.5-1
gamin 0.1.10-9
gavl 1.4.0-3
gawk 4.2.1-2
gc 7.6.8-1
gcab 1.2-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.0-1
gdm 3.30.2-2
gedit 3.30.2-1
gegl 0.4.12+62+gd2302106e-1
gendesk 1.0.2-1
geoclue2 2.5.2-2
geocode-glib 3.26.0-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
gfbgraph 0.2.3+10+gbc03c1f-2
ghostscript 9.26-1
giflib 5.1.4-2
gimp 2.10.8-1
gimp-dbp 1.1.9-6
gimp-help-en 2.8.2-6
gimp-plugin-fblur 3.2.6-5
gimp-plugin-lqr 0.7.2-2
gimp-plugin-wavelet-denoise 0.3.1-4
gimp-refocus 0.9.0-5
git 2.20.1-1
gjs 2:1.54.3-2
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.2-1
glib2-docs 2.58.2-1
glibc 2.28-5
glibmm 2.56.0-1
glslang 7.10.2984-1
glu 9.0.0-5
gmime3 3.2.3-2
gmp 6.1.2-2
gnome-autoar 0.2.3-1
gnome-backgrounds 3.30.0-1
gnome-bluetooth 3.28.2-1
gnome-calculator 3.30.1-1
gnome-characters 3.30.0-1
gnome-clocks 3.30.1-1
gnome-color-manager 3.30.0-1
gnome-common 3.18.0-3
gnome-control-center 3.30.2-1
gnome-desktop 1:3.30.2-1
gnome-disk-utility 3.30.2-1
gnome-font-viewer 3.30.0-1
gnome-getting-started-docs 3.30.0-1
gnome-keyring 1:3.28.2-1
gnome-menus 3.13.3+30+g510ef1c-1
gnome-online-accounts 3.30.1-1
gnome-screenshot 3.30.0-1
gnome-session 3.30.1-1
gnome-settings-daemon 3.30.2-1
gnome-shell 1:3.30.2-1
gnome-shell-extension-appfolders-manager-dev r201.d10ff42-1
gnome-shell-extension-appindicator 17.10.2-1
gnome-shell-extension-arc-menu 17-4
gnome-shell-extension-dash-to-dock 64-1
gnome-shell-extension-desktop-icons 19.01-1
gnome-shell-extension-gsconnect 20-1
gnome-shell-extension-manjaro-update 7-2
gnome-shell-extension-openweather 1.0.r194.ga86b949-1
gnome-shell-extension-taskbar 57.0-2
gnome-shell-extensions 3.30.1-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.30.0-1
gnome-terminal 3.30.2-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.30.2-1
gnome-user-docs 3.30.2-1
gnome-wallpapers 20180516-1
gnome-weather 3.26.0-1
gnupg 2.2.12-2
gnutls 3.6.5-4
gobject-introspection 1.58.3-1
gobject-introspection-runtime 1.58.3-1
gom 0.3.3-2
gparted 0.33.0-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
granite 5.2.2-1
graphene 1.8.2-1
graphite 1:1.3.13-1
graphviz 2.40.1-14
grep 3.3-1
grilo 0.3.6-1
grilo-plugins 0.3.8-1
groff 1.22.3-8
grub 2.03.2-1
grub-theme-manjaro 18.0-1
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-2
gsl 2.5-1
gsm 1.0.18-1
gsound 1.0.2-3
gspell 1.8.1-1
gssproxy 0.8.0-1
gst-libav 1.14.4-1
gst-plugins-bad 1.14.4-5
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gthumb 3.6.2-1
gtk-doc 1.29-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 3.24.3-1
gtk-xfce-engine 2.10.1-1.1
gtk2 2.24.32-1
gtk3 3.24.3-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.0-1
gtksourceview-pkgbuild 3-2
gtksourceview2 2.10.5-4
gtksourceview3 3.24.9-2
gtkspell 2.0.16-7
gtkspell3 3.0.10-1
gts 0.7.6-5
gufw 18.10.0-1
guile 2.2.4-2
gutenprint 5.3.1-2
gvfs 1.38.1+8+ge4eec2bc-1
gvfs-afc 1.38.1+8+ge4eec2bc-1
gvfs-goa 1.38.1+8+ge4eec2bc-1
gvfs-google 1.38.1+8+ge4eec2bc-1
gvfs-mtp 1.38.1+8+ge4eec2bc-1
gvfs-smb 1.38.1+8+ge4eec2bc-1
gzip 1.10-1
harfbuzz 2.3.0-1
harfbuzz-icu 2.3.0-1
haveged 1.9.4-3
hdf5 1.10.4-1
hdparm 9.58-1
hexchat 2.14.2-1
hicolor-icon-theme 0.17-1
hidapi 0.8.0rc1-3
hplip 1:3.18.12-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.0-1
hunspell 1.7.0-2
hunspell-en_US 2018.04.16-5
hwids 20180917-1
hwinfo 21.58-1
hyphen 2.8.8-2
hyphen-en 2.8.8-2
i3-default-artwork 20180428-1
i3-help 20180110-1
i3-scripts 20180701-1
i3-theme-dust 20150804-1
i3-wallpapers 20151103-2
i3-wm 4.16-1
i3blocks 1.4-6
i3lock 2.11.1-1
i3status-manjaro 2.12-1
iana-etc 20181219-1
icu 63.1-2
ijs 0.35-2
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.24-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
inkscape 0.92.4-1
intel-tbb 2019.3-1
intel-ucode 20180807.a-1
intltool 0.51.0-4
inxi 3.0.30-1
iproute2 4.20.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-3
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.1-1
itstool 1:2.0.2+5+g676f3f7-1
iw 4.14-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.15-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jq 1.6-1
jre8-openjdk 8.u192-1
jre8-openjdk-headless 8.u192-1
js52 52.9.0-2
js60 60.4.0-2
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
k3b 1:18.12.1-2
kaccounts-integration 18.12.1-1
karchive 5.54.0-1
kauth 5.54.0-2
kbd 2.0.4-2
kbookmarks 5.54.0-1
kcmutils 5.54.0-1
kcodecs 5.54.0-1
kcompletion 5.54.0-1
kconfig 5.54.0-1
kconfigwidgets 5.54.0-1
kcoreaddons 5.54.0-1
kcrash 5.54.0-1
kdbusaddons 5.54.0-1
kdeclarative 5.54.0-1
kdenlive 18.12.1-1
kernel-alive 0.4-1
keyutils 1.6-1
kfilemetadata 5.54.0-1
kglobalaccel 5.54.0-1
kguiaddons 5.54.0-1
ki18n 5.54.0-1
kiconthemes 5.54.0-1
kio 5.54.1-1
kitemmodels 5.54.0-1
kitemviews 5.54.0-1
kjobwidgets 5.54.0-1
kmod 25-1
knewstuff 5.54.0-1
knotifications 5.54.0-1
knotifyconfig 5.54.0-1
kodi 17.6-9
kodi-eventclients 17.6-9
kpackage 5.54.0-1
kparts 5.54.0-1
krb5 1.16.1-1
kservice 5.54.0-1
ktextwidgets 5.54.0-1
kvantum-manjaro 0.12.0-1
kvantum-qt5 0.10.8-1
kwallet 5.54.0-1
kwidgetsaddons 5.54.0-1
kwindowsystem 5.54.0-1
kxmlgui 5.54.0-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
lib32-alsa-lib 1.1.8-1
lib32-alsa-plugins 1.1.8-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-dbus 1.12.12-1
lib32-expat 2.2.6-1
lib32-flac 1.3.2-2
